codprod;descricaoproduto;embalagem;unidade;codepto;deptodescricao;codsec;secdescricao;codncmex;nbm;informacoestecnicas;codmarca;marca;codmarcatabelamarcas;marcatabelamarcas
9443;BARRA CEREAL NUTRY BANANA ;24X22G;DP;3;BOMBONIERI;314;CEREAL BARRA;19042000.;19042000;;308;NUTRY;308;NUTRY
9444;BARRA CEREAL NUTRY FRUTAS VERMELHAS;24X22G;DP;3;BOMBONIERI;314;CEREAL BARRA;19042000.;19042000;;;;;
9445;BARRA CEREAL NUTRY CASTANHA CAJU C/CHOC.;24X22G;DP;3;BOMBONIERI;314;CEREAL BARRA;19042000.;19042000;;;;;
9446;BARRA CEREAL NUTRY BOLO DE CHOCOLATE;24X22G;DP;3;BOMBONIERI;314;CEREAL BARRA;19042000.;19042000;;;;;
9447;BARRA CEREAL NUTRY COCO C/CHOC.;24X22G;DP;3;BOMBONIERI;314;CEREAL BARRA;19042000.;19042000;;308;NUTRY;308;NUTRY
9448;BARRA CEREAL NUTRY CAPPUCCINO;24X20G;DP;3;BOMBONIERI;314;CEREAL BARRA;19042000.;19042000;;;;;
9450;BARRA CEREAL NUTRY COOKIES E CREAM;24X20G;DP;3;BOMBONIERI;314;CEREAL BARRA;19042000.;19042000;;308;NUTRY;308;NUTRY
9451;BARRA CEREAL NUTRY TRUFA ;24X20G;DP;3;BOMBONIERI;314;CEREAL BARRA;18063220.;18063220;;308;NUTRY;308;NUTRY
9473;PROTEINA SOJA ESCURA SINHA VITAL 400GR;400G;UN;2;ALIMENTOS;266;PREPAROS CULINARIOS;21061000.;21061000;400G;393;SINHA;393;SINHA
9474;PROTEINA SOJA CLARA SINHA VITAL 400G;400G;UN;2;ALIMENTOS;266;PREPAROS CULINARIOS;21061000.;21061000;400G;393;SINHA;393;SINHA
9478;COLHER INOX AZUL MESA TRAM.23163/010;C/12;DZ;7;UTILIDADES;704;UTENSILIO;82159910.;82159910;C/12;;;;
9505;MAC.SEMOLA D.BENTA ESPAGUETE 8 24X500G;24X500G;FD;2;ALIMENTOS;224;MASSA;19021900.9;19021900;24X500G;141;DONA BENTA;141;DONA BENTA
9506;MAC.SEMOLA D.BENTA PARAFUSO 24X500G;24X500G;FD;2;ALIMENTOS;224;MASSA;19021900.9;19021900;24X500G;141;DONA BENTA;141;DONA BENTA
9515;ABACAXI RODELAS QOBBA 400G;400G;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20082010.;20082010;400G;348;QOBBA;348;QOBBA
9516;ABACAXI PEDACOS QOBBA 400G;400G;UN;2;ALIMENTOS;202;CONSERVA DOCE/ENLATADOS;20082010.;20082010;400G;348;QOBBA;348;QOBBA
9526;LIMPADOR M.USO YPE NATUREZA 500ML;500ML;UN;5;LIMPEZA;512;LIMPADOR;34025000.;34025000;500ML;469;YPE;469;YPE
9530;N.F.COPO L.DRINK BRISTOL 410ML 2711 ;12X410ML;CX;7;UTILIDADES;702;COPO/PRATO VIDRO;70133700.;70133700;;282;NADIR FIGUEIREDO;282;NADIR FIGUEIREDO
9534;ESPUM.AURORA PROSECCO 750ML;750ML;UN;1;BEBIDAS;40;ESPUMANTE;22041010.11;22041010;750ML;26;AURORA;26;AURORA
9540;PACOQUINHA YOKI QUAD.POTE 1,100KG;1,100KG;UN;3;BOMBONIERI;315;PETISCOS;17049090.;17049090;50X22G;468;YOKI;468;YOKI
